,Bedrooms,Capacity,Id,Price,Property_Type,Review_Count,Room_Type,Star_Rating
0,2.0,4,12038456,250,Apartment,0,Entire home/apt,0.0
1,1.0,2,10814985,42,Apartment,3,Private room,5.0
2,1.0,3,8226591,65,Apartment,7,Entire home/apt,4.5
3,2.0,4,9463896,140,House,9,Entire home/apt,4.5
4,0.0,2,12020409,169,House,2,Entire home/apt,0.0
5,1.0,2,4000249,90,Apartment,22,Private room,5.0
6,1.0,2,11607297,40,Apartment,1,Private room,0.0
7,1.0,2,7275130,60,Apartment,27,Private room,5.0
8,2.0,4,11951905,165,House,1,Entire home/apt,0.0
9,0.0,2,3343620,85,Apartment,33,Entire home/apt,5.0
10,0.0,2,2763860,75,House,157,Entire home/apt,5.0
11,1.0,2,12027991,49,Apartment,1,Private room,0.0
12,1.0,2,11048022,95,Apartment,22,Private room,5.0
13,1.0,2,9904008,40,House,8,Private room,4.5
14,1.0,2,803076,85,House,263,Private room,4.5
15,1.0,2,12022403,90,House,1,Private room,0.0
16,1.0,2,4453729,55,Apartment,4,Shared room,5.0
17,1.0,3,12055017,90,Apartment,0,Private room,0.0
0,1.0,2,6743285,110,House,39,Entire home/apt,5.0
1,1.0,2,9073469,75,Apartment,24,Private room,4.5
2,1.0,2,11148618,59,Loft,15,Private room,5.0
3,2.0,4,11951905,165,House,1,Entire home/apt,0.0
4,1.0,1,2792132,50,Loft,26,Private room,5.0
5,1.0,3,12055017,90,Apartment,0,Private room,0.0
6,1.0,2,5581175,54,Apartment,8,Private room,4.5
7,0.0,2,3343620,85,Apartment,33,Entire home/apt,5.0
8,2.0,4,9463896,140,House,9,Entire home/apt,4.5
9,0.0,2,9189112,61,Apartment,36,Entire home/apt,4.5
10,1.0,2,9864428,41,House,28,Private room,5.0
11,1.0,1,12057225,25,House,0,Private room,0.0
12,1.0,2,7025189,71,Apartment,7,Private room,5.0
13,1.0,2,11157100,35,House,10,Shared room,5.0
14,2.0,8,8971219,120,Apartment,6,Entire home/apt,0.0
15,1.0,2,11965963,45,House,2,Private room,0.0
16,1.0,2,9239248,55,Apartment,34,Private room,5.0
17,1.0,1,8521199,52,House,25,Private room,5.0
0,2.0,4,11912097,85,House,1,Entire home/apt,0.0
1,1.0,2,10251866,79,Loft,6,Private room,5.0
2,0.0,2,5116621,85,Apartment,78,Entire home/apt,5.0
3,1.0,2,2844501,87,House,95,Entire home/apt,5.0
4,0.0,2,33449,58,Other,141,Entire home/apt,5.0
5,1.0,4,9578070,95,Apartment,12,Entire home/apt,5.0
6,1.0,2,9032968,70,Apartment,9,Entire home/apt,5.0
7,1.0,1,10616417,37,Apartment,9,Shared room,5.0
8,1.0,2,1266238,98,Apartment,121,Entire home/apt,5.0
9,1.0,2,11157100,35,House,10,Shared room,5.0
10,0.0,3,4295444,75,Apartment,51,Entire home/apt,4.5
11,2.0,6,12057138,249,Apartment,0,Entire home/apt,0.0
12,1.0,2,11895759,60,Apartment,2,Shared room,0.0
13,1.0,2,4227142,70,Apartment,108,Private room,5.0
14,1.0,2,9174607,65,Apartment,7,Private room,5.0
15,1.0,2,9317841,99,Apartment,8,Entire home/apt,5.0
16,1.0,2,1183206,90,House,127,Entire home/apt,5.0
17,1.0,2,6724952,60,Condominium,40,Private room,5.0
0,0.0,2,11620599,106,House,9,Entire home/apt,5.0
1,1.0,2,10251866,79,Loft,6,Private room,5.0
2,0.0,2,12020409,169,House,2,Entire home/apt,0.0
3,1.0,2,8867402,65,Apartment,49,Private room,4.5
4,1.0,2,4013542,47,Loft,77,Private room,4.5
5,1.0,1,3295001,58,Loft,14,Private room,5.0
6,1.0,2,2124883,100,House,47,Private room,4.5
7,0.0,2,3193063,70,House,167,Entire home/apt,4.5
8,1.0,1,6901241,30,Apartment,31,Shared room,4.5
9,1.0,2,9865094,119,Apartment,19,Entire home/apt,5.0
10,1.0,2,6805923,95,House,55,Private room,5.0
11,0.0,2,10554784,89,Apartment,15,Entire home/apt,4.5
12,1.0,2,10070270,40,Townhouse,17,Private room,4.5
13,1.0,2,10414541,99,Townhouse,6,Private room,5.0
14,1.0,2,4030581,93,House,37,Private room,5.0
15,0.0,2,5102836,92,House,123,Entire home/apt,4.5
16,1.0,2,8537578,76,Apartment,22,Private room,4.5
17,0.0,2,11852006,99,House,2,Entire home/apt,0.0
0,2.0,3,2908747,93,House,15,Entire home/apt,5.0
1,1.0,3,8776106,67,Apartment,25,Private room,5.0
2,1.0,1,3751832,40,House,41,Private room,5.0
3,1.0,2,9392118,49,Apartment,18,Private room,4.5
4,1.0,4,600295,120,Condominium,3,Private room,4.5
5,1.0,1,254862,50,House,14,Private room,5.0
6,1.0,2,11744730,52,House,2,Private room,0.0
7,0.0,4,6592661,69,Condominium,73,Entire home/apt,4.5
8,1.0,2,9732346,35,House,18,Private room,4.5
9,1.0,2,4093759,82,House,71,Private room,5.0
10,1.0,2,3083951,69,House,182,Private room,5.0
11,1.0,1,10803849,30,Bed & Breakfast,8,Private room,5.0
12,1.0,2,7007763,119,Condominium,26,Entire home/apt,5.0
13,1.0,2,6973562,93,Apartment,41,Private room,5.0
14,1.0,2,165975,100,Apartment,270,Entire home/apt,5.0
15,0.0,2,9304169,58,Apartment,15,Entire home/apt,5.0
16,1.0,2,11461383,96,House,11,Private room,5.0
17,1.0,2,4341243,70,Apartment,12,Private room,5.0
0,1.0,2,5185662,35,Apartment,18,Shared room,5.0
1,2.0,4,11912097,85,House,1,Entire home/apt,0.0
2,2.0,4,9214037,150,House,4,Entire home/apt,5.0
3,0.0,2,11974572,69,Apartment,3,Entire home/apt,4.5
4,1.0,2,8474953,69,Apartment,28,Private room,4.5
5,1.0,2,9695158,99,Apartment,6,Private room,4.0
6,1.0,2,6032663,60,Apartment,25,Private room,4.5
7,1.0,2,12027991,49,Apartment,1,Private room,0.0
8,2.0,6,10973780,113,House,5,Entire home/apt,4.5
9,1.0,2,10924341,96,House,10,Entire home/apt,5.0
10,1.0,2,6898039,80,House,33,Private room,5.0
11,0.0,2,9066741,89,Apartment,30,Entire home/apt,4.5
12,0.0,2,11620599,106,House,9,Entire home/apt,5.0
13,1.0,2,11458152,49,Cabin,4,Private room,5.0
14,1.0,1,1275351,50,Apartment,60,Private room,5.0
15,0.0,2,8325720,140,Apartment,35,Entire home/apt,5.0
16,1.0,2,4013542,47,Loft,77,Private room,4.5
17,1.0,2,5734947,75,House,50,Private room,5.0
0,2.0,4,11971289,129,Apartment,0,Entire home/apt,0.0
1,0.0,1,8107505,60,Apartment,6,Entire home/apt,4.5
2,1.0,4,11973973,195,Apartment,1,Entire home/apt,0.0
3,0.0,4,1438525,95,House,159,Entire home/apt,5.0
4,1.0,1,11622612,30,Apartment,3,Shared room,5.0
5,2.0,4,11928146,88,Loft,2,Entire home/apt,0.0
6,1.0,2,9843923,65,Apartment,2,Entire home/apt,0.0
7,1.0,2,1014540,49,House,47,Private room,4.5
8,1.0,2,7859095,140,Apartment,19,Entire home/apt,5.0
9,2.0,4,10753755,180,House,7,Entire home/apt,5.0
10,1.0,2,9149400,46,House,5,Private room,5.0
11,1.0,2,11059113,39,House,7,Private room,4.5
12,1.0,2,11970709,70,Apartment,3,Private room,5.0
13,1.0,2,5026994,73,Villa,39,Private room,4.5
14,1.0,2,10235929,65,Apartment,11,Private room,5.0
15,1.0,4,11022487,50,Apartment,1,Entire home/apt,0.0
16,2.0,13,12107071,250,Apartment,0,Entire home/apt,0.0
17,1.0,1,9613939,25,House,15,Shared room,4.0
0,1.0,1,7834595,69,Apartment,57,Private room,5.0
1,1.0,3,11065864,71,Apartment,9,Private room,5.0
2,1.0,2,84788,39,Townhouse,22,Private room,5.0
3,1.0,2,7044951,70,House,81,Private room,5.0
4,1.0,2,5218252,70,House,15,Private room,5.0
5,1.0,1,9211430,30,Apartment,9,Private room,5.0
6,0.0,2,9189112,61,Apartment,36,Entire home/apt,4.5
7,1.0,2,11157100,35,House,10,Shared room,5.0
8,1.0,3,12055017,90,Apartment,0,Private room,0.0
9,0.0,2,6438015,99,House,111,Entire home/apt,5.0
10,0.0,2,3884769,109,House,228,Entire home/apt,5.0
11,1.0,1,6936951,75,House,8,Private room,5.0
12,0.0,2,11493530,69,Apartment,6,Entire home/apt,4.5
13,1.0,2,6975441,69,Apartment,53,Private room,5.0
14,1.0,2,908836,64,House,213,Private room,5.0
15,1.0,1,1606395,52,House,80,Private room,5.0
16,0.0,2,8532928,89,Cabin,42,Entire home/apt,5.0
17,1.0,2,8462280,62,House,7,Private room,5.0
0,1.0,1,6063913,48,Apartment,29,Shared room,5.0
1,1.0,2,11672215,65,Condominium,3,Private room,5.0
2,1.0,2,5218252,70,House,15,Private room,5.0
3,0.0,2,8761966,75,Apartment,26,Entire home/apt,5.0
4,1.0,2,165975,100,Apartment,270,Entire home/apt,5.0
5,0.0,2,9971598,120,Apartment,3,Entire home/apt,4.5
6,1.0,2,10424720,120,House,3,Entire home/apt,5.0
7,0.0,2,7229037,91,House,66,Entire home/apt,5.0
8,1.0,2,7764302,88,Condominium,19,Private room,5.0
9,1.0,1,8275707,44,Apartment,15,Private room,5.0
10,1.0,2,4341243,70,Apartment,12,Private room,5.0
11,1.0,1,3615602,42,Apartment,19,Private room,5.0
12,1.0,2,8047721,90,Apartment,8,Entire home/apt,5.0
13,1.0,2,6912351,70,Apartment,54,Private room,5.0
14,1.0,2,9032968,70,Apartment,9,Entire home/apt,5.0
15,1.0,2,11848011,75,Apartment,7,Private room,4.0
16,1.0,1,8703752,33,Apartment,21,Shared room,4.5
17,0.0,4,11285505,109,Apartment,12,Entire home/apt,5.0
0,0.0,4,5538863,75,Apartment,63,Entire home/apt,5.0
1,0.0,3,8366440,70,House,45,Entire home/apt,4.5
