,Bedrooms,Capacity,Id,Price,Property_Type,Review_Count,Room_Type,Star_Rating
0,1,2,6882689,198,Apartment,17,Entire home/apt,5.0
1,2,7,12022627,2200,Apartment,0,Entire home/apt,0.0
2,1,2,8940740,149,Apartment,6,Entire home/apt,5.0
3,1,4,12035970,55,Apartment,0,Entire home/apt,0.0
4,1,2,11642165,65,Apartment,3,Private room,5.0
5,1,1,648047,61,Apartment,66,Private room,4.5
6,1,2,11303306,105,Apartment,3,Entire home/apt,5.0
7,0,2,9533397,99,Apartment,7,Entire home/apt,5.0
8,1,4,12037554,45,Apartment,3,Entire home/apt,4.5
9,1,2,10513228,50,Apartment,5,Private room,5.0
10,1,3,12027155,120,Apartment,0,Entire home/apt,0.0
11,1,4,10140232,140,Apartment,4,Entire home/apt,5.0
12,1,2,7501292,99,Apartment,6,Entire home/apt,4.5
13,2,6,11507817,110,Apartment,8,Entire home/apt,5.0
14,1,2,10165410,42,Apartment,2,Private room,0.0
15,1,2,12053251,40,Apartment,3,Private room,5.0
16,1,2,12028699,100,Apartment,1,Entire home/apt,0.0
17,1,1,7965847,58,House,6,Private room,4.5
0,1,2,11710323,50,Apartment,0,Private room,0.0
1,1,3,11659296,120,Apartment,3,Entire home/apt,4.5
2,1,2,9127698,120,Apartment,3,Entire home/apt,5.0
3,1,1,8847200,50,Apartment,3,Private room,5.0
4,0,2,5340020,89,Apartment,25,Entire home/apt,5.0
5,1,2,2495893,98,Apartment,27,Entire home/apt,4.5
6,1,3,3324091,129,Apartment,35,Entire home/apt,4.5
7,1,4,12035970,55,Apartment,0,Entire home/apt,0.0
8,0,2,10729801,100,Apartment,13,Entire home/apt,5.0
9,1,1,7965847,58,House,6,Private room,4.5
10,0,2,11862330,130,Apartment,1,Entire home/apt,0.0
11,1,2,8940740,149,Apartment,6,Entire home/apt,5.0
12,0,2,2724993,70,Apartment,14,Entire home/apt,4.5
13,1,1,9401508,34,Apartment,9,Private room,4.5
14,1,2,11475963,99,Apartment,1,Private room,0.0
15,1,2,11731976,62,Apartment,1,Private room,0.0
16,1,2,9937935,92,Apartment,8,Private room,4.5
17,1,2,2371377,96,Apartment,6,Entire home/apt,4.5
0,0,3,7897229,229,Apartment,5,Entire home/apt,5.0
1,1,1,2000156,56,Apartment,4,Private room,5.0
2,1,2,3859690,59,Apartment,47,Private room,5.0
3,0,2,9533397,99,Apartment,7,Entire home/apt,5.0
4,1,3,5065185,160,Apartment,19,Entire home/apt,5.0
5,1,4,12035970,55,Apartment,0,Entire home/apt,0.0
6,1,1,8100709,99,Apartment,22,Private room,4.5
7,0,2,11966874,99,Apartment,2,Entire home/apt,0.0
8,0,2,11891606,132,Condominium,0,Entire home/apt,0.0
9,1,2,11731976,62,Apartment,1,Private room,0.0
10,1,2,10628601,68,Apartment,7,Private room,5.0
11,1,2,11475963,99,Apartment,1,Private room,0.0
12,1,3,5954466,175,Apartment,6,Entire home/apt,5.0
13,1,2,2050168,100,Apartment,69,Private room,4.5
14,1,2,9955732,150,Apartment,4,Entire home/apt,4.5
15,0,4,7963444,135,Apartment,15,Entire home/apt,4.5
16,1,1,5619141,78,Apartment,8,Private room,5.0
17,0,3,11925767,200,Apartment,1,Entire home/apt,0.0
