,Bedrooms,Capacity,Id,Price,Property_Type,Review_Count,Room_Type,Star_Rating
0,1,2,1692470,108,Apartment,186,Private room,5.0
1,1,1,7246789,140,Apartment,7,Private room,5.0
2,1,1,1093088,68,Apartment,106,Private room,5.0
3,1,3,3667551,110,Apartment,23,Private room,4.5
4,1,3,9347891,130,House,25,Entire home/apt,5.0
5,1,1,11870451,39,Apartment,4,Shared room,5.0
6,1,2,7955738,90,Apartment,3,Private room,5.0
7,1,1,8117519,52,Townhouse,19,Private room,5.0
8,1,2,562311,103,Apartment,138,Private room,5.0
9,1,2,9196933,95,House,20,Private room,5.0
10,0,2,8777405,125,Apartment,22,Entire home/apt,5.0
11,1,2,8356380,95,House,31,Private room,5.0
12,1,2,6092596,174,Condominium,71,Entire home/apt,5.0
13,1,2,998701,97,House,99,Private room,5.0
14,1,1,12026856,75,House,1,Private room,0.0
15,1,1,11656034,90,Condominium,4,Private room,5.0
16,1,2,4654218,55,House,15,Private room,5.0
17,0,2,6544442,125,Apartment,14,Entire home/apt,5.0
0,1,2,77521,180,Apartment,19,Entire home/apt,5.0
1,1,2,9578797,107,Apartment,5,Entire home/apt,5.0
2,0,2,10039897,121,Apartment,6,Entire home/apt,5.0
3,1,2,10546734,200,Apartment,9,Entire home/apt,5.0
4,2,4,8630129,135,Apartment,1,Entire home/apt,0.0
5,1,1,7246789,140,Apartment,7,Private room,5.0
6,0,2,9735960,150,Apartment,9,Entire home/apt,5.0
7,1,11,683190,250,Loft,281,Entire home/apt,4.5
8,1,2,1692470,108,Apartment,186,Private room,5.0
9,1,2,51073,140,Apartment,100,Private room,5.0
10,0,2,8224358,130,Apartment,13,Entire home/apt,5.0
11,3,5,8207665,175,House,4,Entire home/apt,4.5
12,1,2,11721964,75,House,1,Private room,0.0
13,1,2,1953596,100,House,4,Private room,5.0
14,0,3,2108953,180,Apartment,16,Entire home/apt,5.0
15,1,2,562311,103,Apartment,138,Private room,5.0
16,1,2,256920,125,Apartment,22,Private room,5.0
17,2,5,7665362,230,Loft,4,Entire home/apt,5.0
0,1,2,11340259,90,Apartment,4,Private room,5.0
1,0,4,8456859,160,House,24,Entire home/apt,4.5
2,1,2,6968158,110,House,11,Private room,5.0
3,1,2,7973978,73,Apartment,43,Private room,4.5
4,1,3,4252808,130,House,21,Entire home/apt,5.0
5,1,2,2132457,80,Apartment,2,Entire home/apt,0.0
6,1,2,9435665,75,House,27,Private room,5.0
7,1,2,4053544,120,Apartment,12,Private room,4.5
8,1,2,10930490,85,House,17,Entire home/apt,5.0
9,1,1,8763407,55,Apartment,24,Shared room,4.5
10,0,2,11035236,130,Apartment,5,Entire home/apt,5.0
11,1,2,10733491,130,Apartment,6,Private room,5.0
12,2,4,8630129,135,Apartment,1,Entire home/apt,0.0
13,1,1,2022447,125,Apartment,9,Entire home/apt,5.0
14,1,4,10752454,150,Apartment,3,Entire home/apt,5.0
15,0,2,2291164,120,Apartment,14,Entire home/apt,5.0
16,1,1,568161,65,House,161,Private room,5.0
17,1,2,9581934,57,House,16,Private room,5.0
0,1,2,150848,75,House,122,Private room,5.0
1,1,2,1237296,200,Apartment,96,Entire home/apt,5.0
2,0,3,2108953,180,Apartment,16,Entire home/apt,5.0
3,2,4,1510363,120,House,113,Entire home/apt,5.0
4,1,1,11303001,48,Apartment,3,Private room,5.0
5,1,1,8152867,79,House,9,Private room,5.0
